nohup: ignoring input
/usr/local/lib/python3.10/dist-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
Generating 3000000 trajectories...
Progress: 570000/3000000 (Elapsed: 4973.59s)
Progress: 575000/3000000 (Elapsed: 5018.02s)
Progress: 580000/3000000 (Elapsed: 5063.30s)
Progress: 585000/3000000 (Elapsed: 5106.46s)
Progress: 590000/3000000 (Elapsed: 5149.49s)
Progress: 595000/3000000 (Elapsed: 5192.87s)
Progress: 600000/3000000 (Elapsed: 5234.89s)
Progress: 605000/3000000 (Elapsed: 5278.84s)
Progress: 610000/3000000 (Elapsed: 5322.05s)
Progress: 615000/3000000 (Elapsed: 5366.49s)
Progress: 620000/3000000 (Elapsed: 5410.39s)
Progress: 625000/3000000 (Elapsed: 5454.35s)
Progress: 630000/3000000 (Elapsed: 5497.23s)
Progress: 635000/3000000 (Elapsed: 5541.47s)
Progress: 640000/3000000 (Elapsed: 5586.40s)
Progress: 645000/3000000 (Elapsed: 5631.43s)
Progress: 650000/3000000 (Elapsed: 5676.19s)
Progress: 655000/3000000 (Elapsed: 5720.30s)
Progress: 660000/3000000 (Elapsed: 5764.54s)
Progress: 665000/3000000 (Elapsed: 5807.95s)
Progress: 670000/3000000 (Elapsed: 5851.80s)
Progress: 675000/3000000 (Elapsed: 5894.84s)
Progress: 680000/3000000 (Elapsed: 5938.27s)
Progress: 685000/3000000 (Elapsed: 5981.28s)
Progress: 690000/3000000 (Elapsed: 6025.75s)
Progress: 695000/3000000 (Elapsed: 6068.86s)
Progress: 700000/3000000 (Elapsed: 6113.71s)
Progress: 705000/3000000 (Elapsed: 6157.79s)
Progress: 710000/3000000 (Elapsed: 6200.23s)
Progress: 715000/3000000 (Elapsed: 6244.25s)
Progress: 720000/3000000 (Elapsed: 6288.21s)
Progress: 725000/3000000 (Elapsed: 6331.29s)
Progress: 730000/3000000 (Elapsed: 6374.47s)
Progress: 735000/3000000 (Elapsed: 6416.34s)
Progress: 740000/3000000 (Elapsed: 6461.02s)
Progress: 745000/3000000 (Elapsed: 6505.32s)
Progress: 750000/3000000 (Elapsed: 6548.50s)
Progress: 755000/3000000 (Elapsed: 6593.37s)
Progress: 760000/3000000 (Elapsed: 6637.34s)
Progress: 765000/3000000 (Elapsed: 6680.03s)
Progress: 770000/3000000 (Elapsed: 6723.56s)
Progress: 775000/3000000 (Elapsed: 6766.24s)
Progress: 780000/3000000 (Elapsed: 6808.52s)
Progress: 785000/3000000 (Elapsed: 6851.70s)
Progress: 790000/3000000 (Elapsed: 6894.56s)
Progress: 795000/3000000 (Elapsed: 6938.28s)
Progress: 800000/3000000 (Elapsed: 6980.94s)
Progress: 805000/3000000 (Elapsed: 7024.83s)
Progress: 810000/3000000 (Elapsed: 7068.73s)
Progress: 815000/3000000 (Elapsed: 7113.17s)
Progress: 820000/3000000 (Elapsed: 7155.37s)
Progress: 825000/3000000 (Elapsed: 7198.49s)
Progress: 830000/3000000 (Elapsed: 7241.50s)
Progress: 835000/3000000 (Elapsed: 7285.24s)
Progress: 840000/3000000 (Elapsed: 7329.78s)
Progress: 845000/3000000 (Elapsed: 7371.72s)
Progress: 850000/3000000 (Elapsed: 7415.40s)
Progress: 855000/3000000 (Elapsed: 7458.79s)
Progress: 860000/3000000 (Elapsed: 7501.10s)
Progress: 865000/3000000 (Elapsed: 7545.09s)
Progress: 870000/3000000 (Elapsed: 7588.25s)
Progress: 875000/3000000 (Elapsed: 7630.19s)
Progress: 880000/3000000 (Elapsed: 7674.17s)
Progress: 885000/3000000 (Elapsed: 7718.54s)
Progress: 890000/3000000 (Elapsed: 7763.00s)
Progress: 895000/3000000 (Elapsed: 7805.91s)
Progress: 900000/3000000 (Elapsed: 7849.45s)
Progress: 905000/3000000 (Elapsed: 7892.85s)
Progress: 910000/3000000 (Elapsed: 7936.05s)
Progress: 915000/3000000 (Elapsed: 7979.10s)
Progress: 920000/3000000 (Elapsed: 8023.38s)
Progress: 925000/3000000 (Elapsed: 8067.67s)
Progress: 930000/3000000 (Elapsed: 8110.98s)
Progress: 935000/3000000 (Elapsed: 8155.26s)
Progress: 940000/3000000 (Elapsed: 8198.57s)
Progress: 945000/3000000 (Elapsed: 8242.64s)
Progress: 950000/3000000 (Elapsed: 8285.25s)
Progress: 955000/3000000 (Elapsed: 8329.40s)
Progress: 960000/3000000 (Elapsed: 8371.29s)
Progress: 965000/3000000 (Elapsed: 8413.86s)
Progress: 970000/3000000 (Elapsed: 8457.41s)
Progress: 975000/3000000 (Elapsed: 8498.37s)
Progress: 980000/3000000 (Elapsed: 8541.86s)
Progress: 985000/3000000 (Elapsed: 8586.56s)
Progress: 990000/3000000 (Elapsed: 8630.25s)
Progress: 995000/3000000 (Elapsed: 8671.97s)
Progress: 1000000/3000000 (Elapsed: 8714.93s)
Progress: 1005000/3000000 (Elapsed: 8758.61s)
Progress: 1010000/3000000 (Elapsed: 8801.94s)
Progress: 1015000/3000000 (Elapsed: 8845.04s)
Progress: 1020000/3000000 (Elapsed: 8887.33s)
Progress: 1025000/3000000 (Elapsed: 8931.18s)
Progress: 1030000/3000000 (Elapsed: 8974.07s)
Progress: 1035000/3000000 (Elapsed: 9018.00s)
Progress: 1040000/3000000 (Elapsed: 9062.31s)
Progress: 1045000/3000000 (Elapsed: 9105.82s)
Progress: 1050000/3000000 (Elapsed: 9147.70s)
Progress: 1055000/3000000 (Elapsed: 9191.65s)
Progress: 1060000/3000000 (Elapsed: 9235.08s)
Progress: 1065000/3000000 (Elapsed: 9278.59s)
Progress: 1070000/3000000 (Elapsed: 9322.09s)
Progress: 1075000/3000000 (Elapsed: 9365.69s)
Progress: 1080000/3000000 (Elapsed: 9409.03s)
Progress: 1085000/3000000 (Elapsed: 9452.68s)
Progress: 1090000/3000000 (Elapsed: 9495.75s)
Progress: 1095000/3000000 (Elapsed: 9540.22s)
Progress: 1100000/3000000 (Elapsed: 9583.50s)
Progress: 1105000/3000000 (Elapsed: 9626.45s)
Progress: 1110000/3000000 (Elapsed: 9669.03s)
Progress: 1115000/3000000 (Elapsed: 9711.99s)
Progress: 1120000/3000000 (Elapsed: 9754.47s)
Progress: 1125000/3000000 (Elapsed: 9798.63s)
Progress: 1130000/3000000 (Elapsed: 9841.63s)
Progress: 1135000/3000000 (Elapsed: 9884.37s)
Progress: 1140000/3000000 (Elapsed: 9927.86s)
Progress: 1145000/3000000 (Elapsed: 9970.10s)
Progress: 1150000/3000000 (Elapsed: 10013.13s)
Progress: 1155000/3000000 (Elapsed: 10054.96s)
Progress: 1160000/3000000 (Elapsed: 10098.73s)
Progress: 1165000/3000000 (Elapsed: 10142.15s)
Progress: 1170000/3000000 (Elapsed: 10185.51s)
Progress: 1175000/3000000 (Elapsed: 10228.66s)
Progress: 1180000/3000000 (Elapsed: 10270.76s)
Progress: 1185000/3000000 (Elapsed: 10315.63s)
Progress: 1190000/3000000 (Elapsed: 10358.21s)
Progress: 1195000/3000000 (Elapsed: 10401.34s)
Progress: 1200000/3000000 (Elapsed: 10444.97s)
Progress: 1205000/3000000 (Elapsed: 10489.40s)
Progress: 1210000/3000000 (Elapsed: 10532.38s)
Progress: 1215000/3000000 (Elapsed: 10576.08s)
Progress: 1220000/3000000 (Elapsed: 10620.90s)
Progress: 1225000/3000000 (Elapsed: 10664.20s)
Progress: 1230000/3000000 (Elapsed: 10705.91s)
Progress: 1235000/3000000 (Elapsed: 10748.93s)
Progress: 1240000/3000000 (Elapsed: 10792.23s)
Progress: 1245000/3000000 (Elapsed: 10836.67s)
Progress: 1250000/3000000 (Elapsed: 10880.64s)
Progress: 1255000/3000000 (Elapsed: 10923.82s)
Progress: 1260000/3000000 (Elapsed: 10968.01s)
Progress: 1265000/3000000 (Elapsed: 11010.23s)
Progress: 1270000/3000000 (Elapsed: 11053.80s)
Progress: 1275000/3000000 (Elapsed: 11097.60s)
Progress: 1280000/3000000 (Elapsed: 11140.71s)
Progress: 1285000/3000000 (Elapsed: 11183.88s)
Progress: 1290000/3000000 (Elapsed: 11227.73s)
Progress: 1295000/3000000 (Elapsed: 11270.49s)
Progress: 1300000/3000000 (Elapsed: 11312.37s)
Progress: 1305000/3000000 (Elapsed: 11355.57s)
Progress: 1310000/3000000 (Elapsed: 11397.93s)
Progress: 1315000/3000000 (Elapsed: 11440.32s)
Progress: 1320000/3000000 (Elapsed: 11483.77s)
Progress: 1325000/3000000 (Elapsed: 11527.34s)
Progress: 1330000/3000000 (Elapsed: 11570.24s)
Progress: 1335000/3000000 (Elapsed: 11613.74s)
Progress: 1340000/3000000 (Elapsed: 11657.20s)
Progress: 1345000/3000000 (Elapsed: 11699.39s)
Progress: 1350000/3000000 (Elapsed: 11743.03s)
Progress: 1355000/3000000 (Elapsed: 11784.66s)
Progress: 1360000/3000000 (Elapsed: 11826.31s)
Progress: 1365000/3000000 (Elapsed: 11867.91s)
Progress: 1370000/3000000 (Elapsed: 11911.54s)
Progress: 1375000/3000000 (Elapsed: 11954.26s)
Progress: 1380000/3000000 (Elapsed: 11996.60s)
Progress: 1385000/3000000 (Elapsed: 12040.60s)
Progress: 1390000/3000000 (Elapsed: 12082.57s)
Progress: 1395000/3000000 (Elapsed: 12125.54s)
Progress: 1400000/3000000 (Elapsed: 12169.12s)
Progress: 1405000/3000000 (Elapsed: 12211.62s)
Progress: 1410000/3000000 (Elapsed: 12254.60s)
Progress: 1415000/3000000 (Elapsed: 12298.66s)
Progress: 1420000/3000000 (Elapsed: 12342.39s)
Progress: 1425000/3000000 (Elapsed: 12384.49s)
Progress: 1430000/3000000 (Elapsed: 12426.72s)
Progress: 1435000/3000000 (Elapsed: 12469.19s)
Progress: 1440000/3000000 (Elapsed: 12512.49s)
Progress: 1445000/3000000 (Elapsed: 12556.60s)
Progress: 1450000/3000000 (Elapsed: 12598.51s)
Progress: 1455000/3000000 (Elapsed: 12641.24s)
Progress: 1460000/3000000 (Elapsed: 12685.82s)
Progress: 1465000/3000000 (Elapsed: 12727.88s)
Progress: 1470000/3000000 (Elapsed: 12770.15s)
Progress: 1475000/3000000 (Elapsed: 12812.53s)
Progress: 1480000/3000000 (Elapsed: 12855.62s)
Progress: 1485000/3000000 (Elapsed: 12898.39s)
Progress: 1490000/3000000 (Elapsed: 12940.68s)
Progress: 1495000/3000000 (Elapsed: 12983.94s)
Progress: 1500000/3000000 (Elapsed: 13026.92s)
Progress: 1505000/3000000 (Elapsed: 13070.89s)
Progress: 1510000/3000000 (Elapsed: 13113.51s)
Progress: 1515000/3000000 (Elapsed: 13156.86s)
Progress: 1520000/3000000 (Elapsed: 13200.66s)
Progress: 1525000/3000000 (Elapsed: 13242.66s)
Progress: 1530000/3000000 (Elapsed: 13285.99s)
Progress: 1535000/3000000 (Elapsed: 13329.86s)
Progress: 1540000/3000000 (Elapsed: 13372.84s)
Progress: 1545000/3000000 (Elapsed: 13415.40s)
Progress: 1550000/3000000 (Elapsed: 13458.47s)
Progress: 1555000/3000000 (Elapsed: 13501.64s)
Progress: 1560000/3000000 (Elapsed: 13544.46s)
Progress: 1565000/3000000 (Elapsed: 13588.39s)
Progress: 1570000/3000000 (Elapsed: 13631.72s)
Progress: 1575000/3000000 (Elapsed: 13673.97s)
Progress: 1580000/3000000 (Elapsed: 13716.56s)
Progress: 1585000/3000000 (Elapsed: 13760.47s)
Progress: 1590000/3000000 (Elapsed: 13803.27s)
Progress: 1595000/3000000 (Elapsed: 13846.22s)
Progress: 1600000/3000000 (Elapsed: 13890.22s)
Progress: 1605000/3000000 (Elapsed: 13933.06s)
Progress: 1610000/3000000 (Elapsed: 13976.52s)
Progress: 1615000/3000000 (Elapsed: 14019.85s)
Progress: 1620000/3000000 (Elapsed: 14062.48s)
Progress: 1625000/3000000 (Elapsed: 14106.01s)
Progress: 1630000/3000000 (Elapsed: 14148.73s)
Progress: 1635000/3000000 (Elapsed: 14193.18s)
Progress: 1640000/3000000 (Elapsed: 14237.38s)
Progress: 1645000/3000000 (Elapsed: 14281.32s)
Progress: 1650000/3000000 (Elapsed: 14324.24s)
Progress: 1655000/3000000 (Elapsed: 14366.79s)
Progress: 1660000/3000000 (Elapsed: 14409.43s)
Progress: 1665000/3000000 (Elapsed: 14452.91s)
Progress: 1670000/3000000 (Elapsed: 14496.14s)
Progress: 1675000/3000000 (Elapsed: 14538.70s)
Progress: 1680000/3000000 (Elapsed: 14582.67s)
Progress: 1685000/3000000 (Elapsed: 14626.14s)
Progress: 1690000/3000000 (Elapsed: 14670.47s)
Progress: 1695000/3000000 (Elapsed: 14713.57s)
Progress: 1700000/3000000 (Elapsed: 14756.29s)
Progress: 1705000/3000000 (Elapsed: 14800.93s)
Progress: 1710000/3000000 (Elapsed: 14844.30s)
Progress: 1715000/3000000 (Elapsed: 14887.95s)
Progress: 1720000/3000000 (Elapsed: 14931.62s)
Progress: 1725000/3000000 (Elapsed: 14974.49s)
Progress: 1730000/3000000 (Elapsed: 15017.13s)
Progress: 1735000/3000000 (Elapsed: 15061.18s)
Progress: 1740000/3000000 (Elapsed: 15104.90s)
Progress: 1745000/3000000 (Elapsed: 15148.91s)
Progress: 1750000/3000000 (Elapsed: 15191.72s)
Progress: 1755000/3000000 (Elapsed: 15234.82s)
Progress: 1760000/3000000 (Elapsed: 15277.90s)
Progress: 1765000/3000000 (Elapsed: 15322.24s)
Progress: 1770000/3000000 (Elapsed: 15365.18s)
Progress: 1775000/3000000 (Elapsed: 15409.88s)
Progress: 1780000/3000000 (Elapsed: 15453.41s)
Progress: 1785000/3000000 (Elapsed: 15496.73s)
Progress: 1790000/3000000 (Elapsed: 15540.26s)
Progress: 1795000/3000000 (Elapsed: 15583.71s)
Progress: 1800000/3000000 (Elapsed: 15627.65s)
Progress: 1805000/3000000 (Elapsed: 15671.49s)
Progress: 1810000/3000000 (Elapsed: 15713.82s)
Progress: 1815000/3000000 (Elapsed: 15757.70s)
Progress: 1820000/3000000 (Elapsed: 15800.89s)
Progress: 1825000/3000000 (Elapsed: 15845.39s)
Progress: 1830000/3000000 (Elapsed: 15889.17s)
Progress: 1835000/3000000 (Elapsed: 15932.12s)
Progress: 1840000/3000000 (Elapsed: 15975.90s)
Progress: 1845000/3000000 (Elapsed: 16018.26s)
Progress: 1850000/3000000 (Elapsed: 16061.16s)
Progress: 1855000/3000000 (Elapsed: 16104.41s)
Progress: 1860000/3000000 (Elapsed: 16147.88s)
Progress: 1865000/3000000 (Elapsed: 16191.31s)
Progress: 1870000/3000000 (Elapsed: 16235.95s)
Progress: 1875000/3000000 (Elapsed: 16278.74s)
Progress: 1880000/3000000 (Elapsed: 16322.05s)
Progress: 1885000/3000000 (Elapsed: 16365.30s)
Progress: 1890000/3000000 (Elapsed: 16409.68s)
Progress: 1895000/3000000 (Elapsed: 16453.94s)
Progress: 1900000/3000000 (Elapsed: 16496.49s)
Progress: 1905000/3000000 (Elapsed: 16540.52s)
Progress: 1910000/3000000 (Elapsed: 16585.20s)
Progress: 1915000/3000000 (Elapsed: 16627.73s)
Progress: 1920000/3000000 (Elapsed: 16670.55s)
Progress: 1925000/3000000 (Elapsed: 16713.48s)
Progress: 1930000/3000000 (Elapsed: 16755.93s)
Progress: 1935000/3000000 (Elapsed: 16799.45s)
Progress: 1940000/3000000 (Elapsed: 16843.09s)
Progress: 1945000/3000000 (Elapsed: 16886.69s)
Progress: 1950000/3000000 (Elapsed: 16931.38s)
Progress: 1955000/3000000 (Elapsed: 16974.48s)
Progress: 1960000/3000000 (Elapsed: 17017.25s)
Progress: 1965000/3000000 (Elapsed: 17060.96s)
Progress: 1970000/3000000 (Elapsed: 17104.30s)
Progress: 1975000/3000000 (Elapsed: 17147.57s)
Progress: 1980000/3000000 (Elapsed: 17191.15s)
Progress: 1985000/3000000 (Elapsed: 17235.17s)
Progress: 1990000/3000000 (Elapsed: 17277.62s)
Progress: 1995000/3000000 (Elapsed: 17320.69s)
Progress: 2000000/3000000 (Elapsed: 17363.34s)
Progress: 2005000/3000000 (Elapsed: 17406.67s)
Progress: 2010000/3000000 (Elapsed: 17448.87s)
Progress: 2015000/3000000 (Elapsed: 17492.80s)
Progress: 2020000/3000000 (Elapsed: 17536.50s)
Progress: 2025000/3000000 (Elapsed: 17579.08s)
Progress: 2030000/3000000 (Elapsed: 17623.11s)
Progress: 2035000/3000000 (Elapsed: 17667.49s)
Progress: 2040000/3000000 (Elapsed: 17712.19s)
Progress: 2045000/3000000 (Elapsed: 17755.82s)
Progress: 2050000/3000000 (Elapsed: 17799.35s)
Progress: 2055000/3000000 (Elapsed: 17844.37s)
Progress: 2060000/3000000 (Elapsed: 17887.55s)
Progress: 2065000/3000000 (Elapsed: 17931.26s)
Progress: 2070000/3000000 (Elapsed: 17974.14s)
Progress: 2075000/3000000 (Elapsed: 18017.01s)
Progress: 2080000/3000000 (Elapsed: 18061.73s)
Progress: 2085000/3000000 (Elapsed: 18105.06s)
Progress: 2090000/3000000 (Elapsed: 18150.01s)
Progress: 2095000/3000000 (Elapsed: 18193.39s)
Progress: 2100000/3000000 (Elapsed: 18238.18s)
Progress: 2105000/3000000 (Elapsed: 18281.00s)
Progress: 2110000/3000000 (Elapsed: 18325.45s)
Progress: 2115000/3000000 (Elapsed: 18369.86s)
Progress: 2120000/3000000 (Elapsed: 18412.56s)
Progress: 2125000/3000000 (Elapsed: 18457.11s)
Progress: 2130000/3000000 (Elapsed: 18500.56s)
Progress: 2135000/3000000 (Elapsed: 18545.01s)
Progress: 2140000/3000000 (Elapsed: 18588.25s)
Progress: 2145000/3000000 (Elapsed: 18631.20s)
Progress: 2150000/3000000 (Elapsed: 18675.65s)
Progress: 2155000/3000000 (Elapsed: 18719.47s)
Progress: 2160000/3000000 (Elapsed: 18764.20s)
Progress: 2165000/3000000 (Elapsed: 18808.06s)
Progress: 2170000/3000000 (Elapsed: 18851.37s)
Progress: 2175000/3000000 (Elapsed: 18894.57s)
Progress: 2180000/3000000 (Elapsed: 18937.66s)
Progress: 2185000/3000000 (Elapsed: 18981.04s)
Progress: 2190000/3000000 (Elapsed: 19024.69s)
Progress: 2195000/3000000 (Elapsed: 19068.48s)
Progress: 2200000/3000000 (Elapsed: 19112.70s)
Progress: 2205000/3000000 (Elapsed: 19156.79s)
Progress: 2210000/3000000 (Elapsed: 19201.34s)
Progress: 2215000/3000000 (Elapsed: 19245.21s)
Progress: 2220000/3000000 (Elapsed: 19289.52s)
Progress: 2225000/3000000 (Elapsed: 19333.60s)
Progress: 2230000/3000000 (Elapsed: 19379.59s)
Progress: 2235000/3000000 (Elapsed: 19424.48s)
Progress: 2240000/3000000 (Elapsed: 19468.49s)
Progress: 2245000/3000000 (Elapsed: 19512.64s)
Progress: 2250000/3000000 (Elapsed: 19556.35s)
Progress: 2255000/3000000 (Elapsed: 19601.17s)
